car_model,price,year_model,kms,color,fueltype
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,59.978,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,62.580,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,54.284,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$45.000.000,2022,24.000,Color not found,Gasolina
Renault Logan 1.6 Expression Fii,$25.900.000,2015,190.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$50.000.000,2022,56.472,Gris,Gasolina
Renault Logan 1.6 Dynamique,$50.500.000,2022,59.951,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$69.000.000,2021,39.000,Color not found,Gasolina
Renault Logan 1.6 Expression Fii,$26.000.000,2012,150.974,Color not found,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.900.000,2011,120.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$55.900.000,2022,45.000,Plateado,Gasolina
Renault Logan LIFE MT 1.6CC 8V,$39.900.000,2023,25.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.800.000,2014,99.000,Gris,Gasolina
Renault Logan Intens,$53.900.000,2023,23.000,Gris,Gasolina
Renault Logan Life Plus Ph2,$42.000.000,2020,69.834,Gris,Gasolina
Renault Logan 1.6 Expression,$57.000.000,2023,48.000,Color not found,Gasolina
Renault Logan,$37.900.000,2020,52.000,Plateado,Gasolina
Renault Logan 1.6 Authentique / Life,$34.900.000,2018,99.000,Plateado,Gasolina
